#Org ,PROG,  Àrea,Econ ,   CAP,Descripció ,PREVISIÓN INICIAL 2018,PREVISIÓN INICIAL 2019
SG4,9340.0,9.0,1300201.0,1.0,COMPLEM. LAB.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,41673.0,51301.0
SP1,2310.0,2.0,1310001.0,1.0,LABORAL EVENTUAL.- ATENCIÓ PRIMÀRIA,101500.0,101500.0
SP1,2311.0,3.0,1310001.0,1.0,PERS. EVENTUAL - R.G.A. ........,406000.0,513000.0
SG8,2410.0,2.0,1310001.0,1.0,PERS. EVENTUAL - FORMACIÓ......,0.0,14224.0
SP1,3260.0,3.0,1310001.0,1.0,LABORAL EVENTUAL.- ESCOLES MUNICIPALS,162400.0,165000.0
SP3,3400.0,3.0,1310001.0,1.0,LABORAL EVENTUAL.- SERV. MPAL. D'ESPORTS,0.0,125000.0
SG1,9205.0,9.0,1310001.0,1.0,PERS. EVENTUAL.- REC. HUMANS.,25375.0,0.0
SG1,9205.0,9.0,1500001.0,1.0,PRODUCTIVITAT.- REC. HUMANS..,391171.0,62225.0
SG5,1300.0,1.0,1600001.0,1.0,SEG. SOCIAL.- POLICIA ........,550394.0,594031.0
CM2,1511.0,1.0,1600001.0,1.0,SEG. SOCIAL.- URBANISME ......,108937.0,127857.0
CM1,1512.0,1.0,1600001.0,1.0,SEG. SOCIAL.-  OBRA PUBLICA,0.0,70083.0
CM2,1512.0,1.0,1600001.0,1.0,SEG. SOCIAL.-  OBRA PUBLICA,21082.0,0.0
CM1,1532.0,1.0,1600001.0,1.0,SEG. SOCIAL.- VIES PUBLIQUES...,45793.0,50841.0
CM1,1650.0,1.0,1600001.0,1.0,SEG. SOCIAL.- ENLLUMENAT ......,43811.0,45409.0
CM1,1710.0,1.0,1600001.0,1.0,SEG. SOCIAL.- PARCS I JARDIN,45201.0,47650.0
CM1,1711.0,1.0,1600001.0,1.0,SEG. SOCIAL.- SERVEIS COMUNS MICROCIUTA,94530.0,104270.0
CM6,1721.0,1.0,1600001.0,1.0,SEG. SOCIAL.- MEDI AMBIENT,21742.0,22809.0
SP1,2310.0,2.0,1600001.0,1.0,SEG. SOCIAL.- ATENCIÓ PRIMÀRIA,189425.0,190719.0
SP1,2311.0,2.0,1600001.0,1.0,SEG. SOCIAL.- RGA,660882.0,561803.0
SG8,2410.0,2.0,1600001.0,1.0,SEG. SOCIAL.- FORMACIÓ,12430.0,0.0
SP1,3110.0,3.0,1600001.0,1.0,SEG. SOCIAL.-SANITAT ........,8640.0,8809.0
SP1,3230.0,3.0,1600001.0,1.0,SEG. SOCIAL.- EDUCACIO ......,75423.0,80602.0
SP1,3260.0,3.0,1600001.0,1.0,SEG. SOCIAL.- ESCOLES MUNICIPALS,74142.0,63870.0
SP3,3322.0,3.0,1600001.0,1.0,SEG. SOCIAL.- ARXIU I PATR..,31417.0,31641.0
SP3,3340.0,3.0,1600001.0,1.0,SEG. SOCIAL.- CULTURA ........,30414.0,40616.0
SP3,3370.0,3.0,1600001.0,1.0,SEG. SOCIAL.- JOVENTUT,21503.0,0.0
SP3,3400.0,3.0,1600001.0,1.0,SEG. SOCIAL.- ESPORTS .......,139356.0,169369.0
SG8,4310.0,4.0,1600001.0,1.0,SEG. SOCIAL.- COMERÇ,6221.0,7060.0
SG8,4312.0,4.0,1600001.0,1.0,SEG. SOCIAL.- PROM. ECONOM.,20375.0,15402.0
SG8,4330.0,4.0,1600001.0,1.0,SEG. SOCIAL.- ACTIVITATS,27492.0,28304.0
SG1,9120.0,9.0,1600001.0,1.0,SEG. SOCIAL.- ORG. GOVERN...,40353.0,39314.0
SG1,9202.0,9.0,1600001.0,1.0,SEG.SOCIAL.-SERVEIS JURÍDICS ......,80339.0,74600.0
SG1,9203.0,9.0,1600001.0,1.0,SEG. SOCIAL.- CONTRACTACIÓ ...,15493.0,16855.0
SG1,9205.0,9.0,1600001.0,1.0,SEG. SOCIAL.- REC. HUMANS ...,252172.0,108959.0
SG4,9206.0,9.0,1600001.0,1.0,SEG. SOCIAL.- INFORMATICA ....,19502.0,20119.0
SG1,9250.0,9.0,1600001.0,1.0,SEG. SOCIAL.- OFICINA ATENCIÓ AL CIUTADÀ,49485.0,55195.0
SG4,9311.0,9.0,1600001.0,1.0,SEG. SOCIAL.- INTERVENCIO....,37658.0,42038.0
SG4,9340.0,9.0,1600001.0,1.0,SEG. SOCIAL.- GESTIÓ TRIBUTÀRIA I RECAPTACIO,69021.0,75140.0
SG1,9120.0,9.0,1600101.0,1.0,SEG.SOCIAL.-ORG.GOVERN D.EX.,77049.0,77049.0
SG1,9205.0,9.0,1610401.0,1.0,INDEMNITZACIONS JUBIL. ANTICIPADA,10000.0,10000.0
SG1,9205.0,9.0,1620001.0,1.0,FUNCIONARIS.- FORMACIÓ,4000.0,4000.0
SG1,9205.0,9.0,1620401.0,1.0,FUNCIONARIS.- ACCIO SOCIAL,85000.0,50000.0
SG1,9205.0,9.0,1630001.0,1.0,PERSONAL LABORAL.- FORMACIO,6000.0,6000.0
